last_name,first_name,father_name,little_name,nan,none,no
Κατσαφάδος,Κωνσταντίνος,Ιωάννη,,,,
Μελάς,Ιωάννης,Παναγιώτη,,,,
Μανωλάκος,Νικόλαος,Πέτρου,,,,
Δούνια,Παναγιώτα,Δημητρίου,(Νόνη),,,
Μπουτσικάκης,Χριστόφορος-Εμμανουήλ,Ιωάννη,,,,
Δρίτσας,Θεόδωρος,Παναγιώτη,,,,
Μαρκόπουλος,Δημήτριος,Κωνσταντίνου,,,,
Τραγάκης,Ιωάννης,Παναγιώτη,,,,
Κασιμάτη,Ειρήνη,Γεωργίου,(Νίνα),,,
Ραγκούσης,Ιωάννης,Νικολάου,,,,
Αλεξιάδης,Τρύφων,Ζαφειρίου,,,,
Μπακαδήμα,Φωτεινή,Αγαθοκλή,,,,
Μανωλάκου,Διαμαντώ,Εμμανουήλ,,,,
Ασημακοπούλου,Σοφία-Χάιδω,Δημητρίου,,,,
Μαρτίνου,Γεωργία,Αθανασίου,,,,
Βορίδης,Μαυρουδής,Χρήστου,(Μάκης),,,
Βλάχος,Γεώργιος,Θεοδώρου,,,,
Οικονόμου,Βασίλειος,Αθανασίου,,,,
Σπίρτζης,Χρήστος,Παναγιώτη,,,,
Αθανασίου,Αθανάσιος,Ευθυμίου,(Νάσος),,,
Σκουρολιάκος,Παναγιώτης,Λουκά,(Πάνος),,,
Γκιόκας,Ιωάννης,Χρήστου,,,,
Μυλωνάκης,Αντώνιος,Αντωνίου,,,,
Απατζίδη,Μαρία,Κυρίλλου,,,,
Μπούρας,Αθανάσιος,Κωνσταντίνου,,,,
Λιάκος,Ευάγγελος,Γεωργίου,,,,
Κώτσηρας,Γεώργιος,Αναστασίου,,,,
Τσίπρας,Γεώργιος,Ηρακλή,,,,
Καραγκούνης,Κωνσταντίνος,Ανδρέα,,,,
Σαλμάς,Μάριος,Γεωργίου,,,,
Λιβανός,Σπυρίδωνας-Παναγιώτης,Διονυσίου,(Σπήλιος),,,
Βαρεμένος,Γεώργιος,Βασιλείου,,,,
Μωραΐτης,Αθανάσιος,Χρήστου,(Θάνος),,,
Κωνσταντόπουλος,Δημήτριος,Χρήστου,,,,
Παπαναστάσης,Νικόλαος,Αθανασίου,,,,
Ανδριανός,Ιωάννης,Σωτηρίου,,,,
Γκιόλας,Ιωάννης,Δημητρίου,,,,
Πουλάς,Ανδρέας,Θεοδοσίου,,,,
Βλάσης,Κωνσταντίνος,Γεωργίου,,,,
Παπαηλιού,Γεώργιος,Ηλία,,,,
Κωνσταντινόπουλος,Οδυσσέας,Κωνσταντίνου,,,,
Στύλιος,Γεώργιος,Δημοσθένη,,,,
Γεροβασίλη,Όλγα,Βασιλείου,,,,
Γκόκας,Χρήστος,Ναπολέοντα,,,,
Τσιγκρής,Άγγελος,Αντωνίου,,,,
Κατσανιώτης,Ανδρέας,Ιωάννη,,,,
Φωτήλας,Ιάσων,Ασημάκη,,,,
Αλεξοπούλου,Χριστίνα,Μιχαήλ,,,,
Τσίπρας,Αλέξιος,Παύλου,,,,
Αναγνωστοπούλου,Αθανασία,Πέτρου,(Σία),,,
Μάρκου,Κωνσταντίνος,Βασιλείου,,,,
Παπανδρέου,Γεώργιος,Ανδρέα,,,,
Καραθανασόπουλος,Νικόλαος,Πέτρου,,,,
Κουτσούμπας,Ανδρέας,Βασιλείου,,,,
Πούλου,Παναγιού,Λεωνίδα,(Γιώτα),,,
Μουλκιώτης,Γεώργιος,Βασιλείου,,,,
Πάτσης,Ανδρέας,Κωνσταντίνου,,,,
Μπλούχος,Κωνσταντίνος,Δημητρίου,,,,
Ξανθόπουλος,Θεόφιλος,Σάββα,,,,
Κεφαλίδου,Χαρούλα,Δημητρίου,(Χαρά),,,
Κόνσολας,Εμμανουήλ,Νικία,(Μάνος),,,
Υψηλάντης,Βασίλειος-Νικόλαος,Αναστασίου,,,,
Ιατρίδη,Τσαμπίκα,Ιωάννη,(Μίκα),,,
Παππάς,Ιωάννης,Κωνσταντίνου,,,,
Σαντορινιός,Νεκτάριος,Κωνσταντίνου,,,,
Δημοσχάκης,Αναστάσιος,Σπύρου,,,,
Δερμεντζόπουλος,Χρήστος,Αλεξάνδρου,,,,
Κελέτσης,Σταύρος,Δημητρίου,,,,
Γκαρά,Αναστασία,Γεωργίου,,,,
Κεδίκογλου,Συμεών,Βασιλείου,(Σίμος),,,
Ζεμπίλης,Αθανάσιος,Γεωργίου,,,,
Πνευματικός,Σπυρίδωνας,Γεωργίου,,,,
Αποστόλου,Ευάγγελος,Δημητρίου,,,,
Χατζηγιαννάκης,Μιλτιάδης,Ευαγγέλου,,,,
Μαρίνος,Γεώργιος,Βασιλείου,,,,
Κοντογεώργος,Κωνσταντίνος,Αθανασίου,,,,
Ακτύπης,Διονύσιος,Δημητρίου,,,,
Αυγερινοπούλου,Διονυσία-Θεοδώρα,Ζήσιμου,,,,
Τζαβάρας,Κωνσταντίνος,Γεωργίου,,,,
Νικολακόπουλος,Ανδρέας,Θεοδώρου,,,,
Καλαματιανός,Διονύσιος-Χαράλαμπος,Χρήστου,,,,
Κατρίνης,Μιχαήλ,Ιωάννη,,,,
Βεσυρόπουλος,Απόστολος,Φωτίου,,,,
Μπαρτζώκας,Αναστάσιος,Στεργίου,,,,
Τσαβδαρίδης,Λάζαρος,Γεωργίου,,,,
Τόλκας,Άγγελος,Χαραλάμπου,,,,
Αυγενάκης,Ελευθέριος,Κωνσταντίνου,,,,
Σενετάκης,Μάξιμος,Γεωργίου,,,,
Μαμουλάκης,Χαράλαμπος,Αντωνίου,(Χάρης),,,
Βαρδάκης,Σωκράτης,Δημητρίου,,,,
Ηγουμενίδης,Νικόλαος,Εμμανουήλ,,,,
Κεγκέρογλου,Βασίλειος,Αλεξάνδρου,,,,
Συντυχάκης,Εμμανουήλ,Δανιήλ,,,,
Λογιάδης,Γεώργιος,Εμμανουήλ-Σοφοκλή,,,,
Γιόγιακας,Βασίλειος,Νικολάου,,,,
Κάτσης,Μάριος,Σπυρίδωνος,,,,
Καραμανλής,Κωνσταντίνος,Αλεξάνδρου,,,,
Γκιουλέκας,Κωνσταντίνος,Πέτρου,,,,
Ράπτη,Ελένη,Δημητρίου,,,,
Καλαφάτης,Σταύρος,Αθανασίου,,,,
Σιμόπουλος,Ευστράτιος,Γεωργίου,(Στράτος),,,
Ευθυμίου,Άννα,Ταξιάρχη,,,,
Κούβελας,Δημήτριος,Σωτηρίου,,,,
Νοτοπούλου,Αικατερίνη,Παναγιώτη,(Κατερίνα),,,
Αμανατίδης,Ιωάννης,Γεωργίου,,,,
Γιαννούλης,Χρήστος,Ιωάννη,,,,
Ζουράρης,Κωνσταντίνος,Γεωργίου,,,,
Τριανταφυλλίδης,Αλέξανδρος,Γεωργίου,,,,
Καστανίδης,Χαράλαμπος,Γεωργίου,,,,
Δελής,Ιωάννης,Ιωάννη,,,,
Αβδελάς,Απόστολος,Κωνσταντίνου,,,,
Βαρουφάκης,Γιάνης,Γεωργίου,,,,
Καράογλου,Θεόδωρος,Γεωργίου,,,,
Αναστασιάδης,Σάββας,Ιωάννη,,,,
Βαρτζόπουλος,Δημήτριος,Χρυσοστόμου,,,,
Φάμελλος,Σωκράτης,Πέτρου,,,,
Αυγέρη,Θεοδώρα,Πέτρου,(Δώρα),,,
Αρβανιτίδης,Γεώργιος ,Πέτρου,,,,
Στολτίδης,Λεωνίδας,Δημητρίου,,,,
Χήτας,Κωνσταντίνος,Αχιλλέως,,,,
Αδάμου,Κωνσταντίνα,Στεργίου,,,,
Τασούλας,Κωνσταντίνος,Αναστασίου,,,,
Καλογιάννης,Σταύρος,Ελευθερίου,,,,
Κεφάλα,Μαρία-Αλεξάνδρα,Στεφάνου,,,,
Αμυράς,Γεώργιος,Στυλιανού,,,,
Τζούφη,Μερόπη,Στεφάνου,,,,
Παναγιωτόπουλος,Νικόλαος,Ιωάννη,,,,
Πασχαλίδης,Ιωάννης,Αδάμ,,,,
Λαζαρίδης,Μακάριος,Βασιλείου,,,,
Ελευθεριάδου,Σουλτάνα,Παύλου,,,,
Τσιάρας,Κωνσταντίνος,Αλεξάνδρου,,,,
Κωτσός,Γεώργιος,Κωνσταντίνου,,,,
Σκόνδρα,Ασημίνα,Κωνσταντίνου,,,,
Λάππας,Σπυρίδωνας,Ευαγγέλου,,,,
Τζηκαλάγιας,Ζήσης,Γεωργίου,,,,
Τελιγιορίδου,Ολυμπία,Ιωάννη,,,,
Γκίκας,Στέφανος,Σωτηρίου,,,,
Αυλωνίτης,Αλέξανδρος-Χρήστος,Νικολάου,,,,
Μπιάγκης,Δημήτριος,Σπυρίδωνος,,,,
Καππάτος,Παναγής,Σπυρίδωνος-Διονυσίου,,,,
Γεωργαντάς,Γεώργιος,Παύλου,,,,
Αγαθοπούλου,Ειρήνη-Ελένη,Δημητρίου,,,,
Φραγγίδης,Γεώργιος,Σταύρου,,,,
Κωνσταντινίδης,Ευστάθιος,Κωνσταντίνου,,,,
Βρυζίδου,Παρασκευή,Παναγιώτη,,,,
Παπαδόπουλος,Μιχάλης,Γεωργίου,,,,
Αμανατίδης,Γεώργιος,Ισαάκ,,,,
Βέττα,Καλλιόπη,,,,,
Δήμας,Χρίστος,Σταύρου,,,,
Ταγαράς,Νικόλαος,Χρήστου,,,,
Κόλλιας,Κωνσταντίνος,Ταξιάρχου,,,,
Ψυχογιός,Γεώργιος,Κωνσταντίνου,,,,
Βρούτσης,Ιωάννης,Βασιλείου,,,,
Μονογυιού,Αικατερίνη,Μιχαήλ,,,,
Φόρτωμας,Φίλιππος,Αριστοτέλη,,,,
Συρμαλένιος,Νικόλαος,Ευαγγέλου,,,,
Δαβάκης,Αθανάσιος,Παναγιώτη,,,,
Κρητικός,Νεοκλής,Δημοσθένη,,,,
Αραχωβίτης,Σταύρος,Γεωργίου,,,,
Χαρακόπουλος,Μάξιμος,Παντελή,,,,
Κέλλας,Χρήστος,Αχιλλέα,,,,
Μπίζιου,Στεργιανή,Νικολάου,(Στέλλα),,,
Κόκκαλης,Βασίλειος,Κωνσταντίνου,,,,
Βαγενά-Κηλαηδόνη,Άννα,,,,,
Λιακούλη,Ευαγγελία,Θεοφάνη,,,,
Λαμπρούλης,Γεώργιος,Αριστείδη,,,,
Βελόπουλος,Κυριάκος,Ιωσήφ,,,,
Πλακιωτάκης,Ιωάννης,Ιωσήφ,,,,
Θραψανιώτης,Εμμανουήλ,Μιχαήλ,,,,
Αθανασίου,Χαράλαμπος,Χριστόφα,,,,
Μπουρνούς,Ιωάννης,Δημητρίου,,,,
Κομνηνάκα,Μαρία,Αποστόλου,,,,
Καββαδάς,Αθανάσιος,Ιωάννη,,,,
Μπουκώρος,Χρήστος,Γεωργίου,,,,
Μακρή,Ζωή,Μιχαήλ,(Ζέττα),,,
Λιούπης,Αθανάσιος,Κωνσταντίνου,,,,
Μαραβέγιας,Κωνσταντίνος,Αριστοτέλη,,,,
Μεϊκόπουλος,Αλέξανδρος,Μιχαήλ,,,,
Παπανάτσιου,Αικατερίνη,Στέργιου,,,,
Σαμαράς,Αντώνιος,Κωνσταντίνου,,,,
Λαμπρόπουλος,Ιωάννης,Δημητρίου,,,,
Χρυσομάλλης,Μιλτιάδης,Παναγιώτη,(Μίλτος),,,
Μαντάς,Περικλής,Παντελή,,,,
Χαρίτσης,Αλέξανδρος,Βύρωνα,(Αλέξης),,,
Τσιλιγγίρης,Σπυρίδων,Γεωργίου,(Σπύρος),,,
Ζεϊμπέκ,Χουσεϊν,Χασάν,,,,
Μπαράν,Μπουρχάν,Νετζαντή,,,,
Καρασμάνης,Γεώργιος,Αθανασίου,,,,
Σταμενίτης,Διονύσιος,Ευαγγέλου,,,,
Βασιλειάδης,Βασίλειος,Νικολάου,(Λάκης),,,
Τζάκρη,Θεοδώρα,Εμμανουήλ,,,,
Μπαραλιάκος,Ξενοφών,Ελευθερίου,(Φώντας),,,
Μάνη-Παπαδημητρίου,Άννα,Ευαγγέλου,,,,
Χιονίδης,Σάββας,Γεωργίου,,,,
Σκούφα,Ελισσάβετ,Δημητρίου,(Μπέττυ),,,
Γιαννάκης,Στέργιος,Κωνσταντίνου,,,,
Μπάρκας,Κωνσταντίνος,Θεοφάνη,,,,
Κεφαλογιάννης,Ιωάννης,Αχιλλέα,,,,
Ξανθός,Ανδρέας,Γεωργίου,,,,
Στυλιανίδης,Ευριπίδης,Στυλιανού,,,,
Χαρίτου,Δημήτριος,Αθανασίου,(Τάκης),,,
Αχμέτ,Ιλχάν,Σαμπρή,,,,
Στεφανάδης,Χριστόδουλος,Ισιδώρου,,,,
Αραμπατζή,Φωτεινή,Αθανασίου,,,,
Χατζηβασιλείου,Αναστάσιος,Γεωργίου,(Τάσος),,,
Λεονταρίδης,Θεόφιλος,Χρήστου,,,,
Αβραμάκης,Ελευθέριος,Αντωνίου,,,,
Μπούμπας,Κωνσταντίνος,Ιωάννη,,,,
Σκρέκας,Κωνσταντίνος,Θεοδώρου,,,,
Λιούτας,Αθανάσιος,Αχιλλέως,,,,
Παπακώστα,Παλιούρα,Δημητρίου,(Κατερίνα),,,
Παπαδόπουλος,Αθανάσιος,Αποστόλου,,,,
Σταϊκούρας,Χρήστος,Κωνσταντίνου,,,,
Οικονόμου,Ιωάννης,Δημητρίου,,,,
Κοτρωνιάς,Γεώργιος,Νικολάου,,,,
Μακρή,Ελένη,Ευαγγέλου-Θεοδώρου,,,,
Σαρακιώτης,Ιωάννης,Αθανασίου,,,,
Αντωνιάδης,Ιωάννης,Δημητρίου,,,,
Πέρκα,Θεόπιστη,Χαραλάμπου,(Πέτη),,,
Μπούγας,Ιωάννης,Δημητρίου,,,,
Βαγιωνάς,Γεώργιος,Κωνσταντίνου,,,,
Μάλαμα,Κυριακή,Ιωάννη,,,,
Πάνας,Απόστολος,Νικολάου,,,,
Μπακογιάννη,Θεοδώρα,Κωνσταντίνου,(Ντόρα),,,
Βολουδάκης,Μανούσος-Κωνσταντίνος,Γεωργίου,,,,
Διγαλάκης,Βασίλειος,Βασιλείου,,,,
Πολάκης,Παύλος,Πέτρου,,,,
Μηταράκης,Παναγιώτης,Αντωνίου,(Νότης),,,
Μιχαηλίδης,Ανδρέας,Φραγκούλη,,,,
Κοτζιάς,Νικόλαος,Άγγελου,,,,
Χριστοδουλοπούλου,Αναστασία,Ζαχαρία,,,,
Γαβρόγλου,Κωνσταντίνος,Βασιλείου,,,,
Φορτσάκης,Θεόδωρος,Πέτρου,,,,
Σταμάτης,Δημήτριος,Ιωάννη,,,,
Παππάς,Χρήστος,Ηλία,,,,
Θεοχαρόπουλος,Αθανάσιος,Στεφάνου,,,,
Φλαμπουράρης,Αλέξανδρος,Γερασίμου,,,,
Μιχαλολιάκος,Νικόλαος,Γεωργίου,,,,
Λυκούδης,Σπυρίδων,Διονυσίου,,,,
Κουντουρά,Έλενα,Αλεξάνδρου,,,,
Γεωργιάδης,Μάριος,Νικολάου,,,,
Σταματάκη,Ελένη,Παναγιώτη,,,,
Δουζίνας,Κωνσταντίνος,Ευαγγέλου,,,,
Γεννιά,Γεωργία,Σωκράτη,,,,
Κούζηλος,Νικόλαος,Παναγιώτη,,,,
Καρακώστα,Ευαγγελία,Ελευθερίου,(Εύη),,,
Λαγός,Ιωάννης,Ευαγγέλου,,,,
Μανωλάκου,Διαμάντω,Εμμανουήλ,,,,
Καμμένος,Δημήτριος,Κωνσταντίνου,,,,
Μεγαλοοικονόμου,Θεοδώρα,Πασχάλη,,,,
Μπαλτάς,Αριστείδης-Νικόλαος-Δημήτριος,Αλεξάνδρου,,,,
Πάντζας,Γεώργιος,Σπυρίδωνος-Αριστοτέλη,,,,
Δέδες,Ιωάννης,Γεωργίου,,,,
Κασιδιάρης,Ηλίας,Παναγιώτη,,,,
Χριστοφιλοπούλου,Παρασκευή,συζ.Δημητρίου,(Εύη),,,
Μαυρωτάς,Γεώργιος,Παρασκευά,,,,
Κατσίκης,Κωνσταντίνος,Θεοδώρου,,,,
Καβαδέλλας,Δημήτριος,Γεωργίου,,,,
Τριανταφύλλου,Μαρία,Κωνσταντίνου,,,,
Μπαρμπαρούσης,Κωνσταντίνος,Ηλία,,,,
Μωραΐτης,Νικόλαος,Επαμεινώνδα,,,,
Μανιάτης,Ιωάννης,Αναστασίου,,,,
Τσίρκας,Βασίλειος,Δημητρίου,,,,
Σπαρτινός,Κωνσταντίνος,Νικολάου,,,,
Ριζούλης,Ανδρέας,Κωνσταντίνου,,,,
Παπαθεοδώρου,Θεόδωρος,Παναγιώτη,,,,
Νικολόπουλος,Νικόλαος,Ιωάννου,,,,
Θηβαίος,Νικόλαος,Γεωργίου,,,,
Καρακώστας,Ευάγγελος,Θεοδώρου,,,,
Μπγιάλας,Χρήστος,Αθανασίου,,,,
Καραγιαννίδης,Χρήστος,Γεωργίου,,,,
Κυριαζίδης,Δημήτριος,Τριαντάφυλλου,,,,
Γάκης,Δημήτριος,Θωμά,,,,
Καματερός,Ηλίας,Ιωάννη,,,,
Κρεμαστινός,Δημήτριος,Θωμά,,,,
Καΐσας,Γεώργιος,Δημητρίου,,,,
Ρίζος,Δημήτριος,Γεωργίου,,,,
Ακριώτης,Γεώργιος,Κυριάκου,,,,
Πρατσόλης,Αναστάσιος,Κλεάνθη,(Τάσος),,,
Λιβανίου,Ζωή,Ευαγγέλου,,,,
Μίχος,Νικόλαος,Αντωνίου,,,,
Κοντονής,Χαράλαμπος-Σταύρος ,Νικολάου,,,,
Γεωργοπούλου-Σαλτάρη ,Ευσταθία,Ευσταθίου,(Έφη),,,
Μπαξεβανάκης,Δημήτριος,Σόλωνα,,,,
Μπαλαούρας,Γεράσιμος,Δημητρίου,,,,
Κουτσούκος,Γιάννης,Δημητρίου,,,,
Καρασαρλίδου,Ευφροσύνη,Γεωργίου,(Φρόσω),,,
Ουρσουζίδης,Γεώργιος,Νικολάου,,,,
Αντωνίου,Χρήστος,Αθανασίου,,,,
Μιχελογιαννάκης,Ιωάννης,Δημητρίου,,,,
Δανέλλης,Σπυρίδων,Αθανασίου,,,,
Παρασκευόπουλος,Νικόλαος,Ανδρέα,,,,
Κουράκης,Αναστάσιος,Στυλιανού,(Τάσος),,,
Μπόλαρης,Μάρκος,Ηλία,,,,
Μηταφίδης,Τριαντάφυλλος,Ανδρέα,,,,
Γρέγος,Αντώνιος,Βασιλείου,,,,
Βενιζέλος,Ευάγγελος,Βασιλείου,,,,
Θεοδωράκης,Σταύρος,Παναγιώτη,,,,
Σαρίδης,Ιωάννης,Γεωργίου,,,,
Μάρδας,Δημήτριος,Χρυσοβέργη,,,,
Αρβανιτίδης,Γεώργιος,Πέτρου,,,,
Βαρδαλής,Αθανάσιος,Δημητρίου,,,,
Λαζαρίδης,Γεώργιος,Ιωάννη,,,,
Φωκάς,Αριστείδης,Χρήστου,,,,
Νυφούδης,Νικόλαος,Σταύρου,,,,
Μαντάς,Χρήστος,Κωνσταντίνου,,,,
Στέφος,Ιωάννης,Θεοδώρου,,,,
Καραγιάννης,Ιωάννης,Κωνσταντίνου,,,,
Εμμανουηλίδης,Δημήτριος,Ιωάννη,,,,
Μορφίδης,Κωνσταντίνος,Ανέστη,,,,
Παπαφιλίππου,Γεώργιος,Αντωνίου,,,,
Κατσαβριά-Σιωροπούλου,Χρυσούλα,Αθανασίου,,,,
Βράντζα,Παναγιώτα,Αχιλλέως,,,,
Αντωνίου,Μαρία,Βασιλείου,,,,
Βάκη,Φωτεινή,Γεωργίου,,,,
Παυλίδης,Κωνσταντίνος,Κωνσταντίνου,,,,
Αϊβατίδης,Ιωάννης,Γεωργίου,,,,
Θεοπεφτάτου,Αφροδίτη,Χρήστου,,,,
Παραστατίδης,Θεόδωρος,Σωκράτη,,,,
Χατζησάββας,Χρήστος,Κωνσταντίνου,,,,
Δημητριάδης,Δημήτριος,Κλεάνθη,,,,
Μουμουλίδης,Θεμιστοκλής,Σταματίου,,,,
Θεοφύλακτος,Ιωάννης,Γαβριήλ,,,,
Ντζιμάνης,Γεώργιος,Δημητρίου,,,,
Κασαπίδης,Γεώργιος,Δημοσθένη,,,,
Θελερίτη,Μαρία,Παναγιώτη,,,,
Τσόγκας,Γεώργιος,Παύλου,,,,
Συρίγος,Αντώνιος,Δημητρίου,,,,
Μανιός,Νικόλαος,Εμμανουήλ,,,,
Γρηγοράκος,Λεωνίδας,Γεωργίου,,,,
Παπαδόπουλος,Νικόλαος,Αβραάμ,,,,
Μπαργιώτας,Κωνσταντίνος,Αθανασίου,,,,
Κατσιαντώνης,Γεώργιος,Νικολάου,,,,
Πάλλης,Γεώργιος,Ευστρατίου,,,,
Τάσσος,Σταύρος,Τάσσου,,,,
Μπαλλής,Συμεών,Γεωργίου,,,,
Ηλιόπουλος,Παναγιώτης,Κωνσταντίνου,,,,
Στεργίου,Κωνσταντίνος,Ελευθερίου,,,,
Κοζομπόλη-Αμανατίδη ,Παναγιώτα,Γεωργίου,,,,
Κωνσταντινέας,Πέτρος,Νικολάου,,,,
Κουκούτσης,Δημήτριος,Νικολάου,,,,
Γιαννακίδης,Ευστάθιος,Αλεξάνδρου,,,,
Στογιαννίδης,Γρηγόριος,Κωνσταντίνου,,,,
Σηφάκης,Ιωάννης,Γεωργίου,,,,
Σαχινίδης,Ιωάννης,Ισαάκ,,,,
Τζαμακλής,Χαρίλαος,Γεωργίου,,,,
Καστόρης,Αστέριος,Νικολάου,,,,
Κουκοδήμος,Κωνσταντίνος,Γεωργίου,,,,
Μουσταφά,Μουσταφά,Μεμέτ,,,,
Καρά,Γιουσούφ,Αϊχάν,Μεμέτ,,,
Σεβαστάκης,Δημήτριος,Αλεξίου,,,,
Σταμπουλή,Αφροδίτη,Αποστόλου,,,,
Τζελέπης,Μιχαήλ,Γεωργίου,,,,
Κόλλια-Τσαρουχά,Μαρία,Ευστρατίου,,,,
Μεγαλομύστακας,Αναστάσιος,Χρήστου,,,,
Δριτσέλη,Παναγιώτα,Ιωάννη,,,,
Σιμορέλης,Χρήστος,Βασιλείου,,,,
Καραναστάσης,Απόστολος,Δημητρίου,,,,
Βέττας,Δημήτριος,Φωτίου,,,,
Μιχελής,Αθανάσιος,Ιωάννη,,,,
Σέλτσας,Κωνσταντίνος,Δημητρίου,,,,
Κωστοπαναγιώτου,Ηλίας,Κωνσταντίνου,,,,
Ιγγλέζη,Αικατερίνη,Θεοδώρου,,,,
Βλάχου,Σωτηρία,Ιωάννη,,,,
Σταθάκης,Γεώργιος,Μηνά,,,,
Βαγιωνάκη,Ευαγγελία,(Βάλια),Νικολάου,,,
Μπαλωμενάκης,Αντώνης,Δημητρίου,,,,
Κουρουμπλής,Παναγιώτης,Ελευθερίου,,,,
Σκουρλέτης,Παναγιώτης,Βασιλείου,(Πάνος),,,
Ξυδάκης,Νικόλαος,Γαλάτη,,,,
Τόσκας,Νικόλαος,Στεφάνου,,,,
Παπαδόπουλος,Χριστόφορος,Κωνσταντίνου,,,,
Δημαράς,Γεώργιος,Θεοδώρου,,,,
Θεωνάς,Ιωάννης,Γρηγορίου,,,,
Τσιρώνης,Ιωάννης,Γεωργίου,,,,
Αυλωνίτου,Ελένη,Βασιλείου,,,,
Καββαδία,Ιωαννέτα,(Αννέτα),Σωκράτη,,,
Παναγούλης,Ευστάθιος,(Στάθης),Βασιλείου,,,
